PRESIDENT 2020 State Summary
,
Office,RaceDate,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,PopularRaceNotes,ElectoralRaceNotes
President,20201103,Alabama,9,0,0,"2,323,282","1,441,170","Trump, Donald J. ",Incumbent,"849,624","Biden, Joseph R. Jr.",Challenger,Independent,"25,176","Jorgensen, Jo ",Challenger,"7,312","Write-In  (Write-in) 7,312","591,546",R,62.03,36.57,1.08,.31,62.91,37.09,,,
President,20201103,Alaska,3,0,0,"359,530","189,951","Trump, Donald J. ",Incumbent,"153,778","Biden, Joseph R. Jr.",Challenger,Independent,"8,897","Jorgensen, Jo ",Challenger,"6,904","De La Fuente Roque  (Independent) 318; Blankenship Don  (Independent) 1,127; Write-In  (Write-in) 1,961; Pierce Brock  (Independent) 825","36,173",R,52.83,42.77,2.47,1.92,55.26,44.74,,,
President,20201103,Arizona,0,11,0,"3,387,326","1,661,686","Trump, Donald J. ",Incumbent,"1,672,143","Biden, Joseph R. Jr.",Challenger,Independent,"51,465","Jorgensen, Jo ",Challenger,"2,032","La Riva Gloria  (Independent) 190; Hawkins Howie  (Independent) 1,557","10,457",D,49.06,49.36,1.52,.06,49.84,50.16,,,
President,20201103,Arkansas,6,0,0,"1,219,069","760,647","Trump, Donald J. ",Incumbent,"423,932","Biden, Joseph R. Jr.",Challenger,Independent,"13,133","Jorgensen, Jo ",Challenger,"21,357","La Riva Gloria  (Independent) 1,336; De La Fuente Roque  (Independent) 1,321; Blankenship Don  (Independent) 2,108; Hawkins Howie  (Independent) 2,980; Pierce Brock  (Independent) 2,141; West Kanye  (Independent) 4,099; Carroll Brian  (Independent) 1,713","336,715",R,62.40,34.78,1.08,1.75,64.21,35.79,,,
President,20201103,California,0,55,0,"17,500,881","6,006,429","Trump, Donald J. ",Incumbent,"11,110,250","Biden, Joseph R. Jr.",Challenger,Independent,"187,895","Jorgensen, Jo ",Challenger,"196,307","La Riva Gloria  (Independent) 51,037; De La Fuente Roque  (Independent) 60,160; Write-In  (Write-in) 4,081; Hawkins Howie  (Independent) 81,029","5,103,821",D,34.32,63.48,1.07,1.12,35.09,64.91,,,
President,20201103,Colorado,0,9,0,"3,256,980","1,364,607","Trump, Donald J. ",Incumbent,"1,804,352","Biden, Joseph R. Jr.",Challenger,Independent,"52,460","Jorgensen, Jo ",Challenger,"35,561","La Riva Gloria  (Independent) 1,035; Hammons Bill  (Unity Party of Colorado) 2,730; De La Fuente Roque  (Independent) 636; Kennedy Alyson  (Independent) 354; Blankenship Don  (Independent) 5,061; Write-In  (Write-in) 28; Hawkins Howie  (Independent) 8,986; Pierce Brock  (Independent) 572; West Kanye  (Independent) 8,089; Carroll Brian  (Independent) 2,515","439,745",D,41.90,55.40,1.61,1.09,43.06,56.94,,,
President,20201103,Connecticut,0,7,0,"1,823,857","714,717","Trump, Donald J. ",Incumbent,"1,080,831","Biden, Joseph R. Jr.",Challenger,Independent,"20,230","Jorgensen, Jo ",Challenger,"8,079","Write-In  (Write-in) 541; Hawkins Howie  (Independent) 7,538","366,114",D,39.19,59.26,1.11,.44,39.80,60.20,,,
President,20201103,Delaware,0,3,0,"504,346","200,603","Trump, Donald J. ",Incumbent,"296,268","Biden, Joseph R. Jr.",Challenger,Independent,"5,000","Jorgensen, Jo ",Challenger,"2,475","Write-In  (Write-in) 336; Hawkins Howie  (Independent) 2,139","95,665",D,39.77,58.74,.99,.49,40.37,59.63,,,
President,20201103,District of Columbia,0,3,0,"344,356","18,586","Trump, Donald J. ",Incumbent,"317,323","Biden, Joseph R. Jr.",Challenger,Independent,"2,036","Jorgensen, Jo ",Challenger,"6,411","La Riva Gloria  (Independent) 855; Write-In  (Write-in) 3,137; Hawkins Howie  (Independent) 1,726; Pierce Brock  (Independent) 693","298,737",D,5.40,92.15,.59,1.86,5.53,94.47,,,
President,20201103,Florida,29,0,0,"11,067,456","5,668,731","Trump, Donald J. ",Incumbent,"5,297,045","Biden, Joseph R. Jr.",Challenger,Independent,"70,324","Jorgensen, Jo ",Challenger,"31,356","La Riva Gloria  (Independent) 5,712; De La Fuente Roque  (Independent) 5,966; Blankenship Don  (Independent) 3,902; Write-In  (Write-in) 1,055; Hawkins Howie  (Independent) 14,721","371,686",R,51.22,47.86,.64,.28,51.69,48.31,,,
